political_subdivision,election_date,election_name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,2,3,Straight Party,,1,1,Republican Party,C,1,REP,1305,588,596,0,0,0,0,0,724,352,311,0,581,236,285,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,2,3,Straight Party,,1,2,Democratic Party,C,2,DEM,1305,113,596,0,0,0,0,0,724,56,311,0,581,57,285,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,2,3,Straight Party,,1,3,Libertarian Party,C,3,LIB,1305,4,596,0,0,0,0,0,724,3,311,0,581,1,285,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,2,3,Straight Party,,1,4,Green Party,C,4,GRN,1305,3,596,0,0,0,0,0,724,1,311,0,581,2,285,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,1,Mitt Romney \ Paul Ryan,C,1,REP,1305,1048,37,0,0,0,0,0,724,612,15,0,581,436,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,2,Barack Obama \ Joe Biden,C,2,DEM,1305,202,37,0,0,0,0,0,724,91,15,0,581,111,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,3,Gary Johnson \ Jim Gray,C,3,LIB,1305,13,37,0,0,0,0,0,724,3,15,0,581,10,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,4,Jill Stein \ Cheri Honkala,C,4,GRN,1305,5,37,0,0,0,0,0,724,3,15,0,581,2,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,6,Stewart Alexander/Alex Mendoza,W,5,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,7,Rocky Anderson/Luis J. Rodriguez,W,6,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,8,Avery Ayers/Alejandrina Cabrera,W,7,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,9,Andre N. Barnett/Kenneth R. Cross,W,8,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,10,Virgil Goode/Jim Clymer,W,9,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,11,Thaddaus Hill/Gordon F. Bailey,W,10,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,3,4,President and Vice President,,1,12,Tom Hoefling/Jonathan D. Ellis,W,11,,1305,0,37,0,0,0,0,0,724,0,15,0,581,0,22,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,4,5,United States Senator,,1,1,Ted Cruz,C,1,REP,1305,1003,44,0,0,0,0,0,724,577,21,0,581,426,23,0
Callahan County,11/6/2012,2012 General Election,1,,1,7,1,1,2260,0.58,4,5,United States Senator,,1,2,Paul Sadler,C,2,DEM,1305,214,44,0,0,0,0,0,724,103,21,0,581,111,23,0
