Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Precinct 1,,1,3,3,1,1365,0.53,93,3,Straight Party,,1,1,Republican,C,1,REP,723,255,364,0,0,0,0,0,470,167,249,0,253,88,115,0
Precinct 1,,1,3,3,1,1365,0.53,93,3,Straight Party,,1,2,Democratic,C,2,DEM,723,97,364,0,0,0,0,0,470,49,249,0,253,48,115,0
Precinct 1,,1,3,3,1,1365,0.53,93,3,Straight Party,,1,3,Libertarian,C,3,LIB,723,6,364,0,0,0,0,0,470,4,249,0,253,2,115,0
Precinct 1,,1,3,3,1,1365,0.53,93,3,Straight Party,,1,4,Green,C,4,GRN,723,0,364,0,0,0,0,0,470,0,249,0,253,0,115,0
Precinct 1,,1,3,3,1,1365,0.53,80,4,President and Vice President,,1,8,Mitt Romney/Paul Ryan,C,8,REP,723,546,28,0,0,0,0,0,470,360,27,0,253,186,1,0
Precinct 1,,1,3,3,1,1365,0.53,80,4,President and Vice President,,1,11,Barack Obama/Joe Biden,C,11,DEM,723,140,28,0,0,0,0,0,470,75,27,0,253,65,1,0
Precinct 1,,1,3,3,1,1365,0.53,80,4,President and Vice President,,1,12,Gary Johnson/Jim Gray,C,12,LIB,723,5,28,0,0,0,0,0,470,4,27,0,253,1,1,0
Precinct 1,,1,3,3,1,1365,0.53,80,4,President and Vice President,,1,13,Jill Stein/Cheri Honkala,C,13,GRN,723,3,28,0,0,0,0,0,470,3,27,0,253,0,1,0
Precinct 1,,1,3,3,1,1365,0.53,2,5,United States Senator,,1,7,Ted Cruz,C,7,REP,723,505,49,0,0,0,0,0,470,335,38,0,253,170,11,0
Precinct 1,,1,3,3,1,1365,0.53,2,5,United States Senator,,1,10,Paul Sadler,C,10,DEM,723,154,49,0,0,0,0,0,470,83,38,0,253,71,11,0
Precinct 1,,1,3,3,1,1365,0.53,2,5,United States Senator,,1,11,John Jay Myers,C,11,LIB,723,8,49,0,0,0,0,0,470,8,38,0,253,0,11,0
Precinct 1,,1,3,3,1,1365,0.53,2,5,United States Senator,,1,12,David B. Collins,C,12,GRN,723,6,49,0,0,0,0,0,470,5,38,0,253,1,11,0
Precinct 1,,1,3,3,1,1365,0.53,31,6,"United States Representative, District 13",,1,1,Mac Thornberry,C,1,REP,723,566,107,0,0,0,0,0,470,367,68,0,253,199,39,0
Precinct 1,,1,3,3,1,1365,0.53,31,6,"United States Representative, District 13",,1,3,John Robert Deek,C,3,LIB,723,39,107,0,0,0,0,0,470,30,68,0,253,9,39,0
Precinct 1,,1,3,3,1,1365,0.53,31,6,"United States Representative, District 13",,1,4,Keith F. Houston,C,4,GRN,723,10,107,0,0,0,0,0,470,4,68,0,253,6,39,0
Precinct 1,,1,3,3,1,1365,0.53,38,7,Railroad Commissioner,,1,6,Christi Craddick,C,6,REP,723,495,54,0,0,0,0,0,470,332,41,0,253,163,13,0
