01860011013000088NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011026000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011029000193NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011030000003NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011031000153NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011032000216NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011035000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011088000089NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011090000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011096000003NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012011000238NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012012000125NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012015000164NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012016000111NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012017000091NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012019000153NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012020000216NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012021000271NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012022000162NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012030000046NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012043000212NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012074000081NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012089000023NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012128000071NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860021013000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021026000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021029000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021030000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021031000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021032000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021035000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021088000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021090000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021096000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022011000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022012000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022015000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022016000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022017000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022019000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022020000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022021000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022022000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022030000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022043000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022074000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
