01860011013000119NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011026000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011029000280NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011030000005NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011031000210NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011032000321NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011035000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011088000139NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011090000000NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860011096000004NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012011000324NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012012000192NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012015000224NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012016000151NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012017000129NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012019000223NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012020000319NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012021000354NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012022000212NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012030000068NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012043000300NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012074000119NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012089000029NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860012128000097NONISDEDGEEdgewood ISD Position 1                                 James Hernandez                                                                              01 
01860021013000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021026000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021029000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021030000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021031000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021032000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021035000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021088000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021090000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860021096000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022011000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022012000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022015000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022016000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022017000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022019000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022020000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022021000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022022000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022030000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022043000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
01860022074000000   ISDEDGEEdgewood ISD Position 1                                 OVER VOTES                                                                                   01 
