Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
United States Senator - Democratic Party,121,Absentee Voting,Beto O'Rourke,,3,75.00%,29,59.18%,4,100.00%,49,100.00%,1,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Early Voting,Beto O'Rourke,,17,65.38%,29,59.18%,26,100.00%,49,100.00%,2,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Election Day Voting,Beto O'Rourke,,9,47.37%,29,59.18%,19,100.00%,49,100.00%,0,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Absentee Voting,Sema Hernandez,,0,0.00%,12,24.49%,4,100.00%,49,100.00%,1,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Early Voting,Sema Hernandez,,6,23.08%,12,24.49%,26,100.00%,49,100.00%,2,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Election Day Voting,Sema Hernandez,,6,31.58%,12,24.49%,19,100.00%,49,100.00%,0,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Absentee Voting,Edward Kimbrough,,1,25.00%,8,16.33%,4,100.00%,49,100.00%,1,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Early Voting,Edward Kimbrough,,3,11.54%,8,16.33%,26,100.00%,49,100.00%,2,3,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,121,Election Day Voting,Edward Kimbrough,,4,21.05%,8,16.33%,19,100.00%,49,100.00%,0,3,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Democratic Party",121,Absentee Voting,Greg Sagan,,4,100.00%,49,100.00%,4,100.00%,49,100.00%,1,3,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Democratic Party",121,Early Voting,Greg Sagan,,26,100.00%,49,100.00%,26,100.00%,49,100.00%,2,3,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Democratic Party",121,Election Day Voting,Greg Sagan,,19,100.00%,49,100.00%,19,100.00%,49,100.00%,0,3,0,0,0,0,0,0,0,0
Governor - Democratic Party,121,Absentee Voting,Joe Mumbach,,0,0.00%,5,10.64%,4,100.00%,47,100.00%,1,5,0,0,0,0,0,0,0,0
Governor - Democratic Party,121,Early Voting,Joe Mumbach,,3,12.00%,5,10.64%,25,100.00%,47,100.00%,3,5,0,0,0,0,0,0,0,0
Governor - Democratic Party,121,Election Day Voting,Joe Mumbach,,2,11.11%,5,10.64%,18,100.00%,47,100.00%,1,5,0,0,0,0,0,0,0,0
