tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,13,92.86%,8,100.00%,0,0.00%,21,95.45%,14,100.00%,8,100.00%,0,0.00%,22,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,1,7.14%,0,0.00%,0,0.00%,1,4.55%,14,100.00%,8,100.00%,0,0.00%,22,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,9,75.00%,7,87.50%,0,0.00%,16,80.00%,12,100.00%,8,100.00%,0,0.00%,20,100.00%,2,0,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,3,25.00%,1,12.50%,0,0.00%,4,20.00%,12,100.00%,8,100.00%,0,0.00%,20,100.00%,2,0,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,1,16.67%,2,8.00%,0,0.00%,3,9.68%,6,100.00%,25,100.00%,0,0.00%,31,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,5,83.33%,23,92.00%,0,0.00%,28,90.32%,6,100.00%,25,100.00%,0,0.00%,31,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,20,83.33%,5,100.00%,0,0.00%,25,86.21%,24,100.00%,5,100.00%,0,0.00%,29,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,4,16.67%,0,0.00%,0,0.00%,4,13.79%,24,100.00%,5,100.00%,0,0.00%,29,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,18,78.26%,3,75.00%,0,0.00%,21,77.78%,23,100.00%,4,100.00%,0,0.00%,27,100.00%,1,1,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,5,21.74%,1,25.00%,0,0.00%,6,22.22%,23,100.00%,4,100.00%,0,0.00%,27,100.00%,1,1,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,4,16.00%,4,7.84%,0,0.00%,8,10.53%,25,100.00%,51,100.00%,0,0.00%,76,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,21,84.00%,47,92.16%,0,0.00%,68,89.47%,25,100.00%,51,100.00%,0,0.00%,76,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,47,88.68%,20,90.91%,0,0.00%,67,89.33%,53,100.00%,22,100.00%,0,0.00%,75,100.00%,0,1,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,6,11.32%,2,9.09%,0,0.00%,8,10.67%,53,100.00%,22,100.00%,0,0.00%,75,100.00%,0,1,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,40,80.00%,17,73.91%,0,0.00%,57,78.08%,50,100.00%,23,100.00%,0,0.00%,73,100.00%,3,0,0,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,10,20.00%,6,26.09%,0,0.00%,16,21.92%,50,100.00%,23,100.00%,0,0.00%,73,100.00%,3,0,0,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
