political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Bandera County,11/8/2022,General Election,3,0,101,1922,"United States Representative, District No. 21",Chip Roy,REP,637,234
Bandera County,11/8/2022,General Election,3,0,101,1922,"United States Representative, District No. 21",Claudia Andreana Zapata,DEM,144,56
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Greg Abbott,REP,632,234
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Beto O'Rourke,DEM,147,53
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Mark Tippetts,LIB,1,2
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Delilah Barrios,GRN,1,1
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Jacqueline Abernathy,,1,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Mark V Goloby,,0,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Rejected write-ins,,0,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Governor,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Lieutenant Governor,Dan Patrick,REP,625,232
Bandera County,11/8/2022,General Election,3,0,101,1922,Lieutenant Governor,Mike Collier,DEM,143,48
Bandera County,11/8/2022,General Election,3,0,101,1922,Lieutenant Governor,Shanna Steele,LIB,12,8
Bandera County,11/8/2022,General Election,3,0,101,1922,Attorney General,Ken Paxton,REP,624,229
Bandera County,11/8/2022,General Election,3,0,101,1922,Attorney General,Rochelle Mercedes Garza,DEM,141,53
Bandera County,11/8/2022,General Election,3,0,101,1922,Attorney General,Mark Ash,LIB,17,7
Bandera County,11/8/2022,General Election,3,0,101,1922,Comptroller of Public Accounts,Glenn Hegar,REP,639,230
Bandera County,11/8/2022,General Election,3,0,101,1922,Comptroller of Public Accounts,Janet T. Dudding,DEM,130,52
Bandera County,11/8/2022,General Election,3,0,101,1922,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,9,4
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,Dawn Buckingham,REP,632,234
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,Jay Kleberg,DEM,138,48
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,5,6
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,Carrie Evelyn Menger,,2,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,Rejected write-ins,,0,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of Agriculture,Sid Miller,REP,643,234
Bandera County,11/8/2022,General Election,3,0,101,1922,Commissioner of Agriculture,Susan Hays,DEM,138,54
Bandera County,11/8/2022,General Election,3,0,101,1922,Railroad Commissioner,Wayne Christian,REP,633,231
Bandera County,11/8/2022,General Election,3,0,101,1922,Railroad Commissioner,Luke Warford,DEM,129,47
Bandera County,11/8/2022,General Election,3,0,101,1922,Railroad Commissioner,Jaime Andres Diez,LIB,11,4
Bandera County,11/8/2022,General Election,3,0,101,1922,Railroad Commissioner,Hunter Wayne Crow,GRN,5,6
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,636,233
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,132,51
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,11,5
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,640,236
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,138,51
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 9",Evan Young,REP,642,235
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,137,52
Bandera County,11/8/2022,General Election,3,0,101,1922,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,643,234
Bandera County,11/8/2022,General Election,3,0,101,1922,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,137,53
Bandera County,11/8/2022,General Election,3,0,101,1922,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,634,236
Bandera County,11/8/2022,General Election,3,0,101,1922,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,141,53
Bandera County,11/8/2022,General Election,3,0,101,1922,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",REP,638,232
Bandera County,11/8/2022,General Election,3,0,101,1922,"Member, State Board of Education, District No. 1",Melissa N. Ortega,DEM,140,57
Bandera County,11/8/2022,General Election,3,0,101,1922,"State Senator, District No. 24",Pete Flores,REP,638,234
Bandera County,11/8/2022,General Election,3,0,101,1922,"State Senator, District No. 24",Kathy Jones-Hospod,DEM,138,55
Bandera County,11/8/2022,General Election,3,0,101,1922,"State Representative,  District No. 53",Andrew S. Murr,REP,641,234
Bandera County,11/8/2022,General Election,3,0,101,1922,"State Representative,  District No. 53",Joe P. Herrera,DEM,139,53
Bandera County,11/8/2022,General Election,3,0,101,1922,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,REP,638,234
