,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,#Provisional Ballots,# Provisional Ballots Counted,#Precinct,Precinct ID,Registered Voters,Contest Title,Choice Name,Total Votes,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Throckmorton,11/22/2022,General,3,3,1,1,296,"United States Representative, District No. 19",Jodey C. Arrington,164,9,54,101
Throckmorton,11/22/2022,General,3,3,1,1,296,"United States Representative, District No. 19",Nathan Lewis,4,0,2,2
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Greg Abbott,162,9,54,99
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Beto O'Rourke,7,0,3,4
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Mark Tippetts,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Delilah Barrios,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Governor,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Lieutenant Governor,Dan Patrick,163,9,54,100
Throckmorton,11/22/2022,General,3,3,1,1,296,Lieutenant Governor,Mike Collier,6,0,3,3
Throckmorton,11/22/2022,General,3,3,1,1,296,Lieutenant Governor,Shanna Steele,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Attorney General,Ken Paxton,164,9,54,101
Throckmorton,11/22/2022,General,3,3,1,1,296,Attorney General,Rochelle Mercedes Garza,5,0,3,2
Throckmorton,11/22/2022,General,3,3,1,1,296,Attorney General,Mark Ash,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Comptroller of Public Accounts,Glenn Hegar,163,9,56,98
Throckmorton,11/22/2022,General,3,3,1,1,296,Comptroller of Public Accounts,Janet T. Dudding,4,0,1,3
Throckmorton,11/22/2022,General,3,3,1,1,296,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of the General Land Office,Dawn Buckingham,162,9,55,98
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of the General Land Office,Jay Kleberg,4,0,1,3
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of the General Land Office,Unassigned write-ins,1,0,1,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of Agriculture,Sid Miller,161,8,54,99
Throckmorton,11/22/2022,General,3,3,1,1,296,Commissioner of Agriculture,Susan Hays,6,0,3,3
Throckmorton,11/22/2022,General,3,3,1,1,296,Railroad Commissioner,Wayne Christian,162,9,53,100
Throckmorton,11/22/2022,General,3,3,1,1,296,Railroad Commissioner,Luke Warford,4,0,2,2
Throckmorton,11/22/2022,General,3,3,1,1,296,Railroad Commissioner,Jaime Andres Diez,2,0,2,0
Throckmorton,11/22/2022,General,3,3,1,1,296,Railroad Commissioner,Hunter Wayne Crow,0,0,0,0
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 3",Debra Lehrmann,162,9,53,100
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 3",Erin A. Nowell,4,0,1,3
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,2,0
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 5",Rebeca Huddle,165,9,55,101
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 5",Amanda Reichek,3,0,1,2
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 9",Evan Young,164,9,54,101
Throckmorton,11/22/2022,General,3,3,1,1,296,"Justice, Supreme Court, Place 9",Julia Maldonado,3,0,1,2
Throckmorton,11/22/2022,General,3,3,1,1,296,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,165,9,55,101
Throckmorton,11/22/2022,General,3,3,1,1,296,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,3,0,1,2
Throckmorton,11/22/2022,General,3,3,1,1,296,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,163,9,53,101
Throckmorton,11/22/2022,General,3,3,1,1,296,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,3,0,1,2
Throckmorton,11/22/2022,General,3,3,2,4,308,"United States Representative, District No. 19",Jodey C. Arrington,150,2,73,75
Throckmorton,11/22/2022,General,3,3,2,4,308,"United States Representative, District No. 19",Nathan Lewis,11,2,5,4
