"Precinct_name","Split_name","Reporting_flag","Update_count","Pct_Id","Pct_seq_nbr","Reg_voters","Turn_Out","Contest_Id","Contest_seq_nbr","Contest_title","Contest_party_name","Selectable_Options","candidate_id","candidate_name","Candidate_Type","cand_seq_nbr","Party_Code","total_ballots","total_votes","total_under_votes","total_over_votes","absentee_ballots","absentee_votes","absentee_under_votes","absentee_over_votes","early_ballots","early_votes","early_under_votes","early_over_votes","election_ballots","election_votes","election_under_votes","election_over_votes"
"1 Holliday","",1,19,1,1,0,0.00,5,4,"United States Representative,  District No. 13","",1,1,"Ronny Jackson","C",1,"",367,296,48,0,0,0,0,0,141,114,16,0,226,182,32,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,1,"Rick Perry","C",1,"",367,24,5,0,0,0,0,0,141,9,0,0,226,15,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,2,"Allen B. West","C",2,"",367,21,5,0,0,0,0,0,141,7,0,0,226,14,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,3,"Paul Belew","C",3,"",367,1,5,0,0,0,0,0,141,1,0,0,226,0,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,4,"Chad Prather","C",4,"",367,19,5,0,0,0,0,0,141,7,0,0,226,12,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,5,"Don Huffines","C",5,"",367,25,5,0,0,0,0,0,141,7,0,0,226,18,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,6,"Danny Harrison","C",6,"",367,0,5,0,0,0,0,0,141,0,0,0,226,0,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,7,"Kandy Kaye Horn","C",7,"",367,3,5,0,0,0,0,0,141,2,0,0,226,1,5,0
"1 Holliday","",1,19,1,1,0,0.00,6,5,"Governor","",1,8,"Greg Abbott","C",8,"",367,246,5,0,0,0,0,0,141,97,0,0,226,149,5,0
"1 Holliday","",1,19,1,1,0,0.00,7,6,"Lieutenant Governor","",1,1,"Trayce Bradford","C",1,"",367,24,42,0,0,0,0,0,141,11,13,0,226,13,29,0
