De,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,Provisional Ballots,Provisional Ballots Counted,#Precinct,Registered Voters,DEM Ballots Cast,Contest Title,Choice Name,Absentee Voting Votes,Early Voting Votes,EarlyVotes,Election Day Voting Votes
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Beto O'Rourke,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Michael Cooper,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Inocencio (Inno) Barrientez,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Rich Wakeland,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Governor,Joy Diaz,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Michelle Beckley,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Mike Collier,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Lieutenant Governor,Carla Brailey,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Rochelle Mercedes Garza,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Mike Fields,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Lee Merritt,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,"S. ""TBone"" Raynor",0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Attorney General,Joe Jaworski,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Comptroller of Public Accounts,Janet T. Dudding,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Comptroller of Public Accounts,Angel Luis Vega,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Comptroller of Public Accounts,Tim Mahoney,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of the General Land Office,Michael Lange,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of the General Land Office,Jay Kleberg,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of the General Land Office,Jinny Suh,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of the General Land Office,Sandragrace Martinez,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of Agriculture,Susan Hays,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Commissioner of Agriculture,Ed Ireson,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,1,304,1,Railroad Commissioner,Luke Warford,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,"Justice, Supreme Court, Place 3",Erin A Nowell,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,0,1
Throckmorton,3/1/2022,Primary,1,0,1,304,1,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Governor,Beto O'Rourke,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Governor,Michael Cooper,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Governor,Inocencio (Inno) Barrientez,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Governor,Rich Wakeland,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Governor,Joy Diaz,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Lieutenant Governor,Michelle Beckley,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Lieutenant Governor,Mike Collier,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Lieutenant Governor,Carla Brailey,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Attorney General,Rochelle Mercedes Garza,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Attorney General,Mike Fields,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Attorney General,Lee Merritt,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Attorney General,"S. ""TBone"" Raynor",0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Attorney General,Joe Jaworski,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Comptroller of Public Accounts,Janet T. Dudding,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Comptroller of Public Accounts,Angel Luis Vega,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Comptroller of Public Accounts,Tim Mahoney,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of the General Land Office,Michael Lange,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of the General Land Office,Jay Kleberg,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of the General Land Office,Jinny Suh,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of the General Land Office,Sandragrace Martinez,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of Agriculture,Susan Hays,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Commissioner of Agriculture,Ed Ireson,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,2,310,3,Railroad Commissioner,Luke Warford,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,"Justice, Supreme Court, Place 3",Erin A Nowell,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,2,310,3,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Governor,Beto O'Rourke,0,0,0,3
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Governor,Michael Cooper,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Governor,Inocencio (Inno) Barrientez,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Governor,Rich Wakeland,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Governor,Joy Diaz,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Lieutenant Governor,Michelle Beckley,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Lieutenant Governor,Mike Collier,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Lieutenant Governor,Carla Brailey,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Attorney General,Rochelle Mercedes Garza,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Attorney General,Mike Fields,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Attorney General,Lee Merritt,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Attorney General,"S. ""TBone"" Raynor",0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Attorney General,Joe Jaworski,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Comptroller of Public Accounts,Janet T. Dudding,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Comptroller of Public Accounts,Angel Luis Vega,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Comptroller of Public Accounts,Tim Mahoney,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of the General Land Office,Michael Lange,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of the General Land Office,Jay Kleberg,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of the General Land Office,Jinny Suh,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of the General Land Office,Sandragrace Martinez,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of Agriculture,Susan Hays,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Commissioner of Agriculture,Ed Ireson,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,Railroad Commissioner,Luke Warford,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,"Justice, Supreme Court, Place 3",Erin A Nowell,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,3003,312,3,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Governor,Beto O'Rourke,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Governor,Michael Cooper,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Governor,Inocencio (Inno) Barrientez,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Governor,Rich Wakeland,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Governor,Joy Diaz,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Lieutenant Governor,Michelle Beckley,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Lieutenant Governor,Mike Collier,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Lieutenant Governor,Carla Brailey,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Attorney General,Rochelle Mercedes Garza,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Attorney General,Mike Fields,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Attorney General,Lee Merritt,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Attorney General,"S. ""TBone"" Raynor",0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Attorney General,Joe Jaworski,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Comptroller of Public Accounts,Janet T. Dudding,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Comptroller of Public Accounts,Angel Luis Vega,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Comptroller of Public Accounts,Tim Mahoney,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of the General Land Office,Michael Lange,0,0,0,2
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of the General Land Office,Jay Kleberg,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of the General Land Office,Jinny Suh,0,0,0,0
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of the General Land Office,Sandragrace Martinez,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of Agriculture,Susan Hays,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Commissioner of Agriculture,Ed Ireson,0,0,0,1
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,Railroad Commissioner,Luke Warford,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,"Justice, Supreme Court, Place 3",Erin A Nowell,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,"Justice, Supreme Court, Place 5",Amanda Reichek,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,"Justice, Supreme Court, Place 9",Julia Maldonado,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,1,0,1,3
Throckmorton,3/1/2022,Primary,0,0,4005,68,4,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,1,0,1,3
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Governor,Beto O'Rourke,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Governor,Michael Cooper,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Governor,Inocencio (Inno) Barrientez,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Governor,Rich Wakeland,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Governor,Joy Diaz,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Lieutenant Governor,Michelle Beckley,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Lieutenant Governor,Mike Collier,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Lieutenant Governor,Carla Brailey,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Attorney General,Rochelle Mercedes Garza,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Attorney General,Mike Fields,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Attorney General,Lee Merritt,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Attorney General,"S. ""TBone"" Raynor",0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Attorney General,Joe Jaworski,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Comptroller of Public Accounts,Janet T. Dudding,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Comptroller of Public Accounts,Angel Luis Vega,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Comptroller of Public Accounts,Tim Mahoney,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of the General Land Office,Michael Lange,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of the General Land Office,Jay Kleberg,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of the General Land Office,Jinny Suh,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of the General Land Office,Sandragrace Martinez,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of Agriculture,Susan Hays,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Commissioner of Agriculture,Ed Ireson,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,Railroad Commissioner,Luke Warford,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,"Justice, Supreme Court, Place 3",Erin A Nowell,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,0,0,0,0
Throckmorton,3/1/2022,Primary,1,0,4006,212,0,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,0,0,0,0
